PUMA,year,indicator,value
3151,2023,atten_elementary_w,12327.0
3152,2023,atten_elementary_w,10458.0
3153,2023,atten_elementary_w,6397.0
3154,2023,atten_elementary_w,6503.0
3155,2023,atten_elementary_w,7192.0
3156,2023,atten_elementary_w,7625.0
3157,2023,atten_elementary_w,13201.0
3158,2023,atten_elementary_w,10521.0
3159,2023,atten_elementary_w,5547.0
3160,2023,atten_elementary_w,5202.0
3161,2023,atten_elementary_w,8054.0
3162,2023,atten_elementary_w,9369.0
3163,2023,atten_elementary_w,8058.0
3164,2023,atten_elementary_w,10669.0
3165,2023,atten_elementary_w,9211.0
3166,2023,atten_elementary_w,9785.0
3167,2023,atten_elementary_w,8926.0
3168,2023,atten_elementary_w,11059.0
3151,2023,elementary_w,12327.0
3152,2023,elementary_w,10539.0
3153,2023,elementary_w,6536.0
3154,2023,elementary_w,6896.0
3155,2023,elementary_w,7280.0
3156,2023,elementary_w,7625.0
3157,2023,elementary_w,13652.0
3158,2023,elementary_w,11442.0
3159,2023,elementary_w,5547.0
3160,2023,elementary_w,5404.0
3161,2023,elementary_w,8054.0
3162,2023,elementary_w,10134.0
3163,2023,elementary_w,8393.0
3164,2023,elementary_w,11263.0
3165,2023,elementary_w,9505.0
3166,2023,elementary_w,10094.0
3167,2023,elementary_w,9247.0
3168,2023,elementary_w,11836.0
3151,2023,atten_middle_w,3622.0
3152,2023,atten_middle_w,3089.0
3153,2023,atten_middle_w,902.0
3154,2023,atten_middle_w,1480.0
3155,2023,atten_middle_w,4494.0
3156,2023,atten_middle_w,4304.0
3157,2023,atten_middle_w,3672.0
3158,2023,atten_middle_w,3833.0
3159,2023,atten_middle_w,2183.0
3160,2023,atten_middle_w,1547.0
3161,2023,atten_middle_w,3458.0
3162,2023,atten_middle_w,3211.0
3163,2023,atten_middle_w,3614.0
3164,2023,atten_middle_w,4592.0
3165,2023,atten_middle_w,2689.0
3166,2023,atten_middle_w,4014.0
3167,2023,atten_middle_w,4837.0
3168,2023,atten_middle_w,4163.0
3151,2023,middle_w,5076.0
3152,2023,middle_w,4643.0
3153,2023,middle_w,1269.0
3154,2023,middle_w,1729.0
3155,2023,middle_w,4774.0
3156,2023,middle_w,5123.0
3157,2023,middle_w,5971.0
3158,2023,middle_w,4594.0
3159,2023,middle_w,2236.0
3160,2023,middle_w,1547.0
3161,2023,middle_w,4736.0
3162,2023,middle_w,3967.0
3163,2023,middle_w,3850.0
3164,2023,middle_w,5787.0
3165,2023,middle_w,4017.0
3166,2023,middle_w,4182.0
3167,2023,middle_w,5047.0
3168,2023,middle_w,4791.0
3151,2023,atten_high_school_w,5644.0
3152,2023,atten_high_school_w,8343.0
3153,2023,atten_high_school_w,5295.0
3154,2023,atten_high_school_w,2271.0
3155,2023,atten_high_school_w,4431.0
3156,2023,atten_high_school_w,6666.0
3157,2023,atten_high_school_w,7789.0
3158,2023,atten_high_school_w,9536.0
3159,2023,atten_high_school_w,2886.0
3160,2023,atten_high_school_w,3162.0
3161,2023,atten_high_school_w,5095.0
3162,2023,atten_high_school_w,7439.0
3163,2023,atten_high_school_w,7653.0
3164,2023,atten_high_school_w,7835.0
3165,2023,atten_high_school_w,6916.0
3166,2023,atten_high_school_w,8107.0
3167,2023,atten_high_school_w,7832.0
3168,2023,atten_high_school_w,8644.0
3151,2023,high_school_w,7228.0
3152,2023,high_school_w,9861.0
3153,2023,high_school_w,6959.0
3154,2023,high_school_w,2738.0
3155,2023,high_school_w,6089.0
3156,2023,high_school_w,8007.0
3157,2023,high_school_w,10539.0
3158,2023,high_school_w,12269.0
3159,2023,high_school_w,3564.0
3160,2023,high_school_w,3844.0
3161,2023,high_school_w,7050.0
3162,2023,high_school_w,10677.0
3163,2023,high_school_w,11917.0
3164,2023,high_school_w,11470.0
