PUMA,atten_elementary_w,atten_elementary_women_w,atten_elementary_men_w,atten_elementary_black_w,atten_elementary_non_black_w,elementary_w,elementary_men_w,elementary_women_w,elementary_black_w,elementary_non_black_w,atten_middle_w,atten_middle_women_w,atten_middle_men_w,atten_middle_black_w,atten_middle_non_black_w,middle_men_w,middle_women_w,middle_black_w,middle_non_black_w,middle_w,atten_high_school_w,atten_high_school_non_black_w,atten_high_school_black_w,atten_high_school_men_w,atten_high_school_women_w,high_school_w,high_school_men_w,high_school_women_w,high_school_black_w,high_school_non_black_w,PWGTP,HINCP_w,men_w,woman_w,black_w,non_black_w,attendance_rate_elementary,attendance_rate_middle,attendance_rate_high,attendance_rate_elementary_men,attendance_rate_middle_men,attendance_rate_high_men,attendance_rate_elementary_women,attendance_rate_middle_women,attendance_rate_high_women,attendance_rate_elementary_black,attendance_rate_middle_black,attendance_rate_high_black,attendance_rate_elementary_non_black,attendance_rate_middle_non_black,attendance_rate_high_non_black,elementary_percentage,middle_percentage,high_percentage,year,puma_label
3151.0,12327.0,4602.0,7725.0,1909.0,10418.0,12327.0,7725.0,4602.0,1909.0,10418.0,3622.0,1582.0,2040.0,87.0,3535.0,3011.0,2065.0,87.0,4989.0,5076.0,5644.0,5644.0,0.0,2392.0,3252.0,7228.0,3524.0,3704.0,0.0,7228.0,140700.0,19048543880.0,70831.0,69869.0,6638.0,134062.0,100.0,71.35539795114263,78.0852241283896,100.0,67.75157754898706,67.87741203178207,100.0,76.61016949152543,87.79697624190065,100.0,100.0,,100.0,70.85588294247344,78.0852241283896,8.761194029850747,3.607675906183369,5.137171286425017,2023,"(Northwest) - Albany Park, Norwood Park, Forest Glen, North Park & O'Hare"
3152.0,10458.0,6050.0,4408.0,1033.0,9425.0,10539.0,4489.0,6050.0,1033.0,9506.0,3089.0,976.0,2113.0,599.0,2490.0,3172.0,1471.0,599.0,4044.0,4643.0,8343.0,6960.0,1383.0,4208.0,4135.0,9861.0,5386.0,4475.0,1383.0,8478.0,147168.0,22105711550.0,71687.0,75481.0,14730.0,132438.0,99.23142613151153,66.53026060736593,84.60602372984485,98.19558921808866,66.6141235813367,78.12848124767918,100.0,66.3494221617947,92.40223463687151,100.0,100.0,100.0,99.14790658531454,61.5727002967359,82.09483368719037,7.161203522504893,3.1548978038704067,6.700505544683627,2023,"(North) - West Ridge, Lincoln Square & North Center"
3153.0,6397.0,2722.0,3675.0,2500.0,3897.0,6536.0,3814.0,2722.0,2500.0,4036.0,902.0,441.0,461.0,479.0,423.0,593.0,676.0,611.0,658.0,1269.0,5295.0,3233.0,2062.0,4088.0,1207.0,6959.0,4514.0,2445.0,2993.0,3966.0,165603.0,18426827580.0,85336.0,80267.0,35860.0,129743.0,97.87331701346389,71.0795902285264,76.08851846529674,96.35553224960671,77.74030354131534,90.56269384138237,100.0,65.23668639053254,49.36605316973415,100.0,78.39607201309329,68.89408620113599,96.55599603567889,64.28571428571429,81.51790216843166,3.9467884035917224,0.7662904657524321,4.202218558842533,2023,"(North) - Uptown, Edgewater & Rogers Park"
3154.0,6503.0,3120.0,3383.0,578.0,5925.0,6896.0,3548.0,3348.0,578.0,6318.0,1480.0,513.0,967.0,0.0,1480.0,1216.0,513.0,0.0,1729.0,1729.0,2271.0,2230.0,41.0,753.0,1518.0,2738.0,1046.0,1692.0,41.0,2697.0,169636.0,39114332700.0,80905.0,88731.0,10925.0,158711.0,94.30104408352669,85.59861191440139,82.94375456537618,95.34949267192785,79.52302631578947,71.9885277246654,93.1899641577061,100.0,89.71631205673759,100.0,,100.0,93.77967711301045,85.59861191440139,82.68446421950316,4.065174844962154,1.019241198802141,1.6140441887335235,2023,(North) - Lake View & Lincoln Park
3155.0,7192.0,4217.0,2975.0,631.0,6561.0,7280.0,3063.0,4217.0,631.0,6649.0,4494.0,2285.0,2209.0,195.0,4299.0,2307.0,2467.0,195.0,4579.0,4774.0,4431.0,4167.0,264.0,2159.0,2272.0,6089.0,3076.0,3013.0,264.0,5825.0,153886.0,22790694224.0,75220.0,78666.0,9721.0,144165.0,98.79120879120879,94.13489736070382,72.77056988011168,97.12699967352269,95.75205895101864,70.18855656697009,100.0,92.62261856505877,75.4065715233986,100.0,100.0,100.0,98.67649270567003,93.88512775715222,71.53648068669528,4.7307747293451,3.102296505205152,3.95682518227779,2023,"(Northwest) - Logan Square, Irving Park & Avondale"
3156.0,7625.0,4524.0,3101.0,372.0,7253.0,7625.0,3101.0,4524.0,372.0,7253.0,4304.0,2141.0,2163.0,741.0,3563.0,2982.0,2141.0,741.0,4382.0,5123.0,6666.0,6177.0,489.0,3736.0,2930.0,8007.0,4037.0,3970.0,879.0,7128.0,126318.0,14825417822.0,61192.0,65126.0,5688.0,120630.0,100.0,84.01327347257467,83.25215436493069,100.0,72.53521126760563,92.5439682932871,100.0,100.0,73.80352644836272,100.0,100.0,55.631399317406135,100.0,81.30990415335462,86.65824915824916,6.036352697161132,4.055637359679539,6.338764071628747,2023,"(Northwest) - Portage Park, Dunning & Jefferson Park"
3157.0,13201.0,5894.0,7307.0,1160.0,12041.0,13652.0,7567.0,6085.0,1160.0,12492.0,3672.0,1902.0,1770.0,321.0,3351.0,3033.0,2938.0,1049.0,4922.0,5971.0,7789.0,5243.0,2546.0,3770.0,4019.0,10539.0,4820.0,5719.0,2690.0,7849.0,162743.0,17279382710.0,81830.0,80913.0,27783.0,134960.0,96.69645473190741,61.497236643778265,73.90644273650251,96.56402801638694,58.35806132542037,78.21576763485477,96.86113393590797,64.73791695030633,70.27452351809757,100.0,30.60057197330791,94.64684014869889,96.38968940121678,68.08208045509956,66.79831825710282,8.388686456560343,3.6689750096778355,6.475854568245638,2023,"(West) - Belmont Cragin, Humboldt Park, Hermosa & Montclare"
3158.0,10521.0,7342.0,3179.0,7047.0,3474.0,11442.0,3179.0,8263.0,7968.0,3474.0,3833.0,2161.0,1672.0,2777.0,1056.0,2269.0,2325.0,3215.0,1379.0,4594.0,9536.0,2293.0,7243.0,4959.0,4577.0,12269.0,6989.0,5280.0,9162.0,3107.0,149036.0,13808590490.0,70126.0,78910.0,105969.0,43067.0,91.95070791819612,83.43491510666087,77.7243459124623,100.0,73.68884971353019,70.95435684647303,88.85392714510468,92.94623655913978,86.68560606060606,88.44126506024097,86.37636080870918,79.05479153023357,100.0,76.57722987672227,73.80109430318636,7.677339703158968,3.0824767170348104,8.232239190531148,2023,"(West) - Austin, North Lawndale & East/West Garfield Park"
3159.0,5547.0,3368.0,2179.0,2267.0,3280.0,5547.0,2179.0,3368.0,2267.0,3280.0,2183.0,802.0,1381.0,167.0,2016.0,1434.0,802.0,167.0,2069.0,2236.0,2886.0,2189.0,697.0,1911.0,975.0,3564.0,2368.0,1196.0,907.0,2657.0,156539.0,29106621350.0,79033.0,77506.0,28148.0,128391.0,100.0,97.62969588550983,80.97643097643098,100.0,96.30404463040446,80.70101351351352,100.0,100.0,81.52173913043478,100.0,100.0,76.84674751929438,100.0,97.43837602706623,82.38614979299962,3.543525894505523,1.428398034994474,2.2767489251879724,2023,(West) - West Town & Near West Side
3160.0,5202.0,1925.0,3277.0,1904.0,3298.0,5404.0,3356.0,2048.0,1904.0,3500.0,1547.0,1029.0,518.0,0.0,1547.0,518.0,1029.0,0.0,1547.0,1547.0,3162.0,1149.0,2013.0,602.0,2560.0,3844.0,781.0,3063.0,2516.0,1328.0,176191.0,33609586860.0,80660.0,95531.0,28611.0,147580.0,96.2620281273131,100.0,82.25806451612904,97.64600715137068,100.0,77.08066581306018,93.994140625,100.0,83.57819131570355,100.0,,80.00794912559618,94.22857142857143,100.0,86.5210843373494,3.0671260166523826,0.8780244166841666,2.181723243525492,2023,"(Central) - Near North Side, Loop & Near South Side"
