School ID,School Name,Status as of 2024,Year,DropoutRate,NumDropouts,TotalStudents,AdjustedStudents
400121,ACERO - DE LA CRUZ,,2011, , , , 
400121,ACERO - DE LA CRUZ,,2012, , , , 
400121,ACERO - DE LA CRUZ,,2013, , , , 
400121,ACERO - DE LA CRUZ,,2014,7.5,5,71,67
400121,ACERO - DE LA CRUZ,,2015,3.8,6,163,158
400121,ACERO - DE LA CRUZ,,2016,3,6,207,197
400121,ACERO - DE LA CRUZ,,2017,1.5,3,214,197
400121,ACERO - DE LA CRUZ,,2018,2.9,5,198,175
400121,ACERO - DE LA CRUZ,,2019,1.9,3,165,154
400121,ACERO - DE LA CRUZ,,2020,2.4,3,151,127
400121,ACERO - DE LA CRUZ,,2021,0,0,144,135
400121,ACERO - DE LA CRUZ,,2022,0.7,1,153,138
400121,ACERO - DE LA CRUZ,,2023,4,6,162,151
400121,ACERO - DE LA CRUZ,,2024,1.7,2,139,120
400085,ACERO - GARCIA HS,,2011,1.8,8,444,444
400085,ACERO - GARCIA HS,,2012,3.6,22,611,609
400085,ACERO - GARCIA HS,,2013,1.7,11,633,632
400085,ACERO - GARCIA HS,,2014,1.7,11,651,633
400085,ACERO - GARCIA HS,,2015,1.2,8,676,659
400085,ACERO - GARCIA HS,,2016,1.6,12,773,755
400085,ACERO - GARCIA HS,,2017,0.9,7,779,756
400085,ACERO - GARCIA HS,,2018,1.4,9,640,627
400085,ACERO - GARCIA HS,,2019,0.5,3,644,618
400085,ACERO - GARCIA HS,,2020,1,6,648,624
400085,ACERO - GARCIA HS,,2021,0.6,4,656,634
400085,ACERO - GARCIA HS,,2022,0.5,3,702,663
400085,ACERO - GARCIA HS,,2023,0.2,1,663,637
400085,ACERO - GARCIA HS,,2024,2.5,16,664,630
400149,ACERO - SOTO HS,,2011, , , , 
400149,ACERO - SOTO HS,,2012, , , , 
400149,ACERO - SOTO HS,,2013, , , , 
400149,ACERO - SOTO HS,,2014,3.4,7,207,206
400149,ACERO - SOTO HS,,2015,0.8,3,394,380
400149,ACERO - SOTO HS,,2016,0.6,3,569,545
400149,ACERO - SOTO HS,,2017,0.7,4,640,614
400149,ACERO - SOTO HS,,2018,3.7,20,560,542
400149,ACERO - SOTO HS,,2019,3,16,554,539
400149,ACERO - SOTO HS,,2020,2.9,15,533,515
400149,ACERO - SOTO HS,,2021,1.5,8,545,530
400149,ACERO - SOTO HS,,2022,1.1,6,578,548
400149,ACERO - SOTO HS,,2023,1.6,9,576,567
400149,ACERO - SOTO HS,,2024,1.1,6,566,556
610513,AIR FORCE HS,,2011,6.7,15,226,224
610513,AIR FORCE HS,,2012,3,9,313,299
610513,AIR FORCE HS,,2013,4.6,18,407,394
610513,AIR FORCE HS,,2014,2.5,9,378,364
610513,AIR FORCE HS,,2015,1.1,4,376,360
610513,AIR FORCE HS,,2016,4.1,14,352,339
610513,AIR FORCE HS,,2017,3.7,12,344,322
610513,AIR FORCE HS,,2018,1.3,3,260,237
610513,AIR FORCE HS,,2019,0,0,204,194
610513,AIR FORCE HS,,2020,0.5,1,205,194
610513,AIR FORCE HS,,2021,1.1,2,196,187
610513,AIR FORCE HS,,2022,0.6,1,179,164
610513,AIR FORCE HS,,2023,4.3,6,150,139
610513,AIR FORCE HS,,2024,0.9,1,124,113
610524,ALCOTT HS,,2011,5.9,10,180,170
610524,ALCOTT HS,,2012,3,7,237,231
610524,ALCOTT HS,,2013,2.2,6,284,268
610524,ALCOTT HS,,2014,1.1,3,282,269
610524,ALCOTT HS,,2015,5.8,16,288,278
610524,ALCOTT HS,,2016,1.6,5,324,306
610524,ALCOTT HS,,2017,2.6,8,329,308
610524,ALCOTT HS,,2018,2,6,319,304
610524,ALCOTT HS,,2019,0,0,326,307
610524,ALCOTT HS,,2020,1.3,4,330,314
610524,ALCOTT HS,,2021,0.3,1,341,323
610524,ALCOTT HS,,2022,1.8,6,363,342
610524,ALCOTT HS,,2023,2.3,8,373,351
610524,ALCOTT HS,,2024,0.8,3,383,359
609695,AMUNDSEN HS,,2011,7.8,133,1769,1711
609695,AMUNDSEN HS,,2012,6.3,100,1637,1582
609695,AMUNDSEN HS,,2013,6.6,95,1527,1438
609695,AMUNDSEN HS,,2014,5.3,66,1325,1245
609695,AMUNDSEN HS,,2015,5,55,1193,1110
609695,AMUNDSEN HS,,2016,3.9,44,1183,1131
609695,AMUNDSEN HS,,2017,1.3,15,1209,1141
609695,AMUNDSEN HS,,2018,1.4,17,1240,1179
609695,AMUNDSEN HS,,2019,0.6,7,1313,1251
609695,AMUNDSEN HS,,2020,0.4,6,1407,1343
609695,AMUNDSEN HS,,2021,0.6,9,1489,1420
609695,AMUNDSEN HS,,2022,0.5,7,1542,1449
609695,AMUNDSEN HS,,2023,0.5,8,1528,1459
609695,AMUNDSEN HS,,2024,0.5,8,1555,1468
400181,ART IN MOTION,,2011, , , , 
400181,ART IN MOTION,,2012, , , , 
400181,ART IN MOTION,,2013, , , , 
400181,ART IN MOTION,,2014, , , , 
400181,ART IN MOTION,,2015, , , , 
400181,ART IN MOTION,,2016, , , , 
400181,ART IN MOTION,,2017, , , , 
400181,ART IN MOTION,,2018, , , , 
400181,ART IN MOTION,,2019, , , , 
400181,ART IN MOTION,,2020, , , , 
400181,ART IN MOTION,,2021,0,0,131,121
400181,ART IN MOTION,,2022,1.9,5,295,260
400181,ART IN MOTION,,2023,7.9,34,454,433
400181,ART IN MOTION,,2024,1.3,6,498,452
400172,ASPIRA - BUSINESS & FINANCE HS,,2011, , , , 
400172,ASPIRA - BUSINESS & FINANCE HS,,2012, , , , 
400172,ASPIRA - BUSINESS & FINANCE HS,,2013, , , , 
400172,ASPIRA - BUSINESS & FINANCE HS,,2014, , , , 
400172,ASPIRA - BUSINESS & FINANCE HS,,2015, , , , 
400172,ASPIRA - BUSINESS & FINANCE HS,,2016,0,0,159,157
400172,ASPIRA - BUSINESS & FINANCE HS,,2017,0.3,1,344,329
400172,ASPIRA - BUSINESS & FINANCE HS,,2018,3.6,17,489,473
400172,ASPIRA - BUSINESS & FINANCE HS,,2019,3.8,25,661,654
400172,ASPIRA - BUSINESS & FINANCE HS,,2020,4.3,28,664,654
400172,ASPIRA - BUSINESS & FINANCE HS,,2021,2.2,12,547,541
