School ID,School Name,Latitude,Longitude,Student Count,Low Income Student Count,Graduation Rate,Atttendance Rate Current Year,Address State,Address Street,Address Zip Code,Is High School,Is Middle School,Is Elementarty School,Is Pre School
609755,Whitney M Young Magnet High School,41.878603,-87.664233,2207,749,95.6,93.6,Illinois,211 S LAFLIN St,60607,True,True,False,False
609794,Thomas A Edison Regional Gifted Center ES,41.971506,-87.709304,263,26,,95.0,Illinois,4929 N SAWYER Ave,60625,False,True,True,False
610317,Brighton Park Elementary School,41.8239,-87.692077,300,271,,89.6,Illinois,3825 S WASHTENAW Ave,60632,False,True,True,True
400125,"YCCS-ASPIRA,Antonia Pantoja Alternative HS",41.938187,-87.727137,167,162,,67.0,Illinois,3121 N PULASKI Rd,60641,True,False,False,False
400061,Perspectives - Leadership Academy,41.745961,-87.652045,816,771,81.7,84.5,Illinois,8522 S LAFAYETTE Ave,60620-1308,True,True,True,False
609788,Alice L Barnard Computer Math & Science Ctr ES,41.705131,-87.658074,252,198,,90.5,Illinois,10354 S CHARLES St,60643,False,True,True,True
609896,Thomas Drummond Elementary School,41.915914,-87.674495,344,59,,93.8,Illinois,1845 W CORTLAND St,60622,False,True,True,True
609740,Wells Community Academy High School,41.898995,-87.667483,310,234,78.4,75.0,Illinois,936 N ASHLAND Ave,60622,True,False,False,False
610111,John Palmer Elementary School,41.973289,-87.739213,753,497,,90.7,Illinois,5051 N KENNETH Ave,60630,False,True,True,True
609885,Dewey Elementary Academy of Fine Arts,41.795646,-87.642652,283,273,,91.7,Illinois,5415 S UNION Ave,60609,False,True,True,True
610167,William H Seward Communication Arts Academy ES,41.810333,-87.668772,405,387,,90.3,Illinois,4600 S HERMITAGE Ave,60609,False,True,True,True
609876,Nathan S Davis Elementary School,41.821852,-87.700202,552,494,,90.6,Illinois,3014 W 39TH Pl,60632,False,True,True,True
610254,Dvorak Technology Academy,41.858883,-87.715744,294,247,,88.7,Illinois,3615 W 16TH St,60623,False,True,True,True
610315,Edward White Elementary Career Academy,41.672309,-87.650539,130,119,,87.4,Illinois,1136 W 122ND St,60643,False,True,True,True
609856,Henry Clay Elementary School,41.654558,-87.544614,580,479,,90.0,Illinois,13231 S BURLEY Ave,60633,False,True,True,True
610091,Ronald Brown Elementary Community Academy,41.664873,-87.638958,280,267,,92.3,Illinois,12607 S UNION Ave,60628,False,True,True,True
609803,James G Blaine Elementary School,41.950781,-87.664968,627,67,,94.7,Illinois,1420 W GRACE St,60613,False,True,True,True
610172,William T Sherman Elementary School,41.799766,-87.650221,225,224,,89.1,Illinois,1000 W 52ND St,60609,False,True,True,True
610249,Talman Elementary School,41.794048,-87.690261,339,303,,90.4,Illinois,5450 S TALMAN Ave,60632,False,True,True,True
609991,Theodore Herzl Elementary School,41.862081,-87.718994,441,425,,86.9,Illinois,3711 W DOUGLAS Blvd,60623,False,True,True,True
400025,CICS - Bucktown,41.922415,-87.681358,523,368,,89.8,Illinois,2235 N HAMILTON Ave,60647,False,True,True,False
610347,Claremont STEM Magnet Elementary School,41.777511,-87.681061,321,309,,91.1,Illinois,2300 W 64TH St,60636,False,True,True,True
400165,L.E.A.R.N. - Middle School Campus,41.887413,-87.702704,173,162,,86.5,Illinois,3021 W CARROLL Ave,60612,False,True,True,False
610230,Wildwood IB World Magnet School,42.007491,-87.778345,515,62,,94.0,Illinois,6950 N HIAWATHA Ave,60646,False,True,True,True
609804,Mosaic School of Fine Arts,42.003412,-87.697463,757,689,,90.0,Illinois,6710 N WASHTENAW Ave,60645,False,True,True,True
609726,Gwendolyn Brooks College Preparatory Academy HS,41.692763,-87.616353,984,584,90.9,88.1,Illinois,250 E 111TH St,60628,True,True,False,False
609857,Grover Cleveland Elementary School,41.952042,-87.706443,510,388,,90.6,Illinois,3121 W BYRON St,60618,False,True,True,True
609737,Friedrich W von Steuben Metropolitan Science HS,41.973185,-87.713386,1645,1004,97.3,88.6,Illinois,5039 N KIMBALL Ave,60625,True,False,False,False
400126,YCCS-Association House HS,41.901572,-87.70686,92,84,,62.5,Illinois,1116 N KEDZIE Ave,60651-4152,True,False,False,False
610006,Edward N Hurley Elementary School,41.766785,-87.719541,742,664,,91.5,Illinois,3849 W 69TH Pl,60629,False,True,True,True
610138,Pulaski International School of Chicago,41.918486,-87.683801,872,309,,93.2,Illinois,2230 W MCLEAN Ave,60647,False,True,True,True
609799,Alexander Graham Bell Elementary School,41.94953,-87.686018,898,98,,94.0,Illinois,3730 N OAKLEY Ave,60618,False,True,True,True
610067,Francis M McKay Elementary School,41.768143,-87.691787,642,620,,89.6,Illinois,6901 S FAIRFIELD Ave,60629,False,True,True,True
610313,Jose De Diego Elementary Community Academy,41.905294,-87.685756,489,393,,85.8,Illinois,1313 N CLAREMONT Ave,60622,False,True,True,True
400169,Noble - ITW David Speer Academy,41.92563,-87.769808,1111,975,90.5,91.0,Illinois,5321 W GRAND Ave,60639-3009,True,False,False,False
400077,University of Chicago - Woodlawn,41.77813,-87.598114,575,424,92.2,88.0,Illinois,6300 S UNIVERSITY Ave,60637-2710,True,True,True,False
400027,CICS - Irving Park,41.950891,-87.710492,460,316,,89.1,Illinois,3820 N SPAULDING Ave,60618,False,True,True,False
609952,Nathanael Greene Elementary School,41.829669,-87.671492,337,280,,91.8,Illinois,3525 S HONORE St,60609,False,False,True,True
400130,YCCS-Community Youth Development Institute HS,41.751377,-87.641731,86,74,,61.9,Illinois,7836 S UNION Ave,60620,True,False,False,False
610200,James N Thorp Elementary School,41.733324,-87.54428,321,308,,87.7,Illinois,8914 S BUFFALO Ave,60617,False,True,True,True
610053,Marquette Elementary School,41.773881,-87.69703,1056,995,,92.5,Illinois,6550 S RICHMOND St,60629,False,True,True,True
610182,Hannah G Solomon Elementary School,41.993942,-87.724043,325,161,,90.9,Illinois,6206 N HAMLIN Ave,60659,False,True,True,True
609817,Lyman A Budlong Elementary School,41.975754,-87.696556,762,452,,91.5,Illinois,2701 W FOSTER Ave,60625,False,True,True,True
610281,Adam Clayton Powell Paideia Community Academy ES,41.760332,-87.556789,584,531,,90.0,Illinois,7511 S SOUTH SHORE Dr,60649,False,True,True,True
610257,Morton School of Excellence,41.889178,-87.705108,280,221,,89.6,Illinois,431 N TROY St,60612,False,True,True,True
610529,Ogden International High School,41.893548,-87.659405,503,343,92.7,84.8,Illinois,1250 W ERIE St,60642,True,False,False,False
610021,Pablo Casals Elementary School,41.904503,-87.714234,344,305,,93.1,Illinois,3501 W POTOMAC Ave,60651,False,True,True,True
609904,Edward K Ellington Elementary School,41.88553,-87.766589,543,498,,88.3,Illinois,243 N PARKSIDE Ave,60644,False,True,True,True
609949,William P Gray Elementary School,41.948764,-87.757116,982,780,,90.7,Illinois,3730 N LARAMIE Ave,60641,False,True,True,True
609708,Edwin G. Foreman College and Career Academy,41.939797,-87.754167,581,529,66.7,73.9,Illinois,3235 N LECLAIRE Ave,60641,True,False,False,False
609852,Eliza Chappell Elementary School,41.975894,-87.683264,598,208,,92.6,Illinois,2135 W FOSTER Ave,60625,False,True,True,True
400114,Acero Charter Schools - Esmeralda Santiago,41.900344,-87.689896,211,190,,95.1,Illinois,2510 W CORTEZ St,60622,False,True,True,False
610143,William C Reavis Math & Science Specialty ES,41.804174,-87.604925,358,278,,87.3,Illinois,834 E 50TH St,60615,False,True,True,True
610334,Al Raby High School,41.88621,-87.715423,103,102,75.8,73.2,Illinois,3545 W FULTON Blvd,60624,True,False,False,False
610153,William H Ryder Math & Science Specialty ES,41.735379,-87.638843,363,338,,90.0,Illinois,8716 S WALLACE St,60620,False,True,True,True
609798,Hiram H Belding Elementary School,41.958938,-87.73402,613,296,,92.1,Illinois,4257 N TRIPP Ave,60641,False,True,True,True
609807,Lionel Hampton Fine & Performing Arts ES,41.753457,-87.708731,445,424,,89.4,Illinois,3434 W 77TH St,60652,False,True,True,True
610597,The Virtual Academy High School,41.8627144,-87.6601387,309,224,,,Illinois,1326 W 14TH ,60608-1410,True,False,False,False
610101,William B Ogden Elementary School,41.899976,-87.629297,788,434,,89.3,Illinois,24 W WALTON St,60610,False,True,True,True
400112,Acero Charter Schools - Jovita Idar,41.801042,-87.708797,535,478,,91.5,Illinois,5050 S HOMAN Ave,60632,False,True,True,False
609988,Patrick Henry Elementary School,41.958989,-87.715632,448,398,,91.4,Illinois,4250 N SAINT LOUIS Ave,60618,False,True,True,True
610237,Ludwig Van Beethoven Elementary School,41.809135,-87.627137,340,307,,86.0,Illinois,25 W 47TH St,60609,False,True,True,True
609925,Joseph Kellman Corporate Community ES,41.870168,-87.702163,211,197,,91.4,Illinois,3030 W ARTHINGTON St,60612,False,True,True,True
609760,George Washington Carver Military Academy HS,41.65629,-87.59062,410,332,89.0,86.5,Illinois,13100 S DOTY Ave,60827-1597,True,False,False,False
610203,Monarcas Academy,41.787523,-87.708179,808,742,,90.7,Illinois,5815 S HOMAN Ave,60629,False,False,True,True
609676,Paul Laurence Dunbar Career Academy High School,41.840226,-87.617637,318,312,81.8,64.7,Illinois,3000 S KING Dr,60616,True,False,False,False
610595,Dr. Fisher Early Learning Center,41.916008,-87.634637,144,35,,,Illinois,1840 N CLARK ,60614-5881,False,False,False,True
610078,Inter-American Elementary Magnet School,41.949003,-87.651573,617,249,,93.2,Illinois,851 W WAVELAND Ave,60613,False,True,True,True
609927,Foster Park Elementary School,41.738425,-87.668099,364,343,,92.4,Illinois,8530 S WOOD St,60620,False,True,True,True
609806,Myra Bradwell Communications Arts & Sciences ES,41.754365,-87.557142,554,490,,83.4,Illinois,7736 S BURNHAM Ave,60649,False,True,True,True
610034,Lawndale Elementary Community Academy,41.86296,-87.712957,202,174,,88.0,Illinois,3500 W DOUGLAS Blvd,60623,False,True,True,True
610235,Ella Flagg Young Elementary School,41.906791,-87.767143,411,393,,87.4,Illinois,1434 N PARKSIDE Ave,60651,False,True,True,True
609835,Daniel R Cameron Elementary School,41.903792,-87.717927,660,648,,93.1,Illinois,1234 N MONTICELLO Ave,60651,False,True,True,True
609870,Daniel J Corkery Elementary School,41.845602,-87.731193,445,404,,85.2,Illinois,2510 S KILDARE Ave,60623,False,True,True,True
400101,Acero Charter Schools - Sandra Cisneros,41.822884,-87.693996,307,282,,92.5,Illinois,2744 W PERSHING Rd,60632,False,True,True,False
400075,University of Chicago - Donoghue,41.827726,-87.608501,487,429,,91.4,Illinois,707 E 37TH St,60653,False,False,True,False
609928,James Farmer Jr Elementary School,41.818003,-87.611784,305,287,,87.9,Illinois,4214 S ST LAWRENCE Ave,60653,False,True,True,True
610299,Dr. Martin Luther King Jr Academy of Social Justice,41.765335,-87.641335,248,221,,88.6,Illinois,644 W 71ST St,60621,False,True,True,True
610250,Ruben Salazar Elementary Bilingual Center,41.901417,-87.633632,315,290,,88.1,Illinois,160 W WENDELL St,60610,False,True,True,True
400054,Noble - Pritzker College Prep,41.915214,-87.730127,978,921,95.9,90.2,Illinois,4131 W CORTLAND St,60639,True,False,False,False
609987,Thomas A Hendricks Elementary Community Academy,41.815788,-87.633664,225,218,,85.7,Illinois,4316 S PRINCETON Ave,60609,False,True,True,True
400039,Erie Elementary Charter School,41.906771,-87.694364,396,310,,90.4,Illinois,1405 N WASHTENAW Ave,60622,False,True,True,False
400082,Acero Charter Schools - Carlos Fuentes,41.937476,-87.699594,324,281,,91.8,Illinois,2845 W BARRY Ave,60618,False,True,True,False
610084,Annie Keller Regional Gifted Center,41.69717,-87.697278,222,87,,95.9,Illinois,3020 W 108TH St,60655,False,True,True,False
610530,South Shore Fine Arts Academy,41.767755,-87.590396,230,177,,90.5,Illinois,1415 E 70TH St,60637,False,True,True,True
610586,Edward E. Sadlowski Elementary School,41.704859,-87.527985,682,569,,88.4,Illinois,3930 E 105TH ,60617-6335,False,True,True,True
400026,CICS - Loomis Primary,41.720246,-87.657561,332,301,,89.5,Illinois,9535 S LOOMIS St,60643,False,False,True,False
400034,CICS - Northtown,41.990245,-87.726504,853,638,95.1,87.0,Illinois,3900 W PETERSON Ave,60659,True,False,False,False
610569,Ombudsman Chicago- Northwest,42.017171,-87.806682,327,265,,59.8,Illinois,7500 N HARLEM Ave,60631,True,False,False,False
610201,Ole A Thorp Elementary Scholastic Academy,41.948571,-87.777631,828,313,,94.0,Illinois,6024 W WARWICK Ave,60634,False,True,True,False
610088,Wolfgang A Mozart Elementary School,41.92091,-87.721888,517,459,,88.5,Illinois,2200 N HAMLIN Ave,60647,False,True,True,True
400181,Art in Motion Charter School,41.760034,-87.583328,557,447,,89.2,IL,7415 S EAST END ,60649-3611,True,True,False,False
610092,Henry H Nash Elementary School,41.89181,-87.747936,265,233,,88.2,Illinois,4837 W ERIE St,60644-1720,False,True,True,True
610539,Marvin Camras Elementary School,41.934931,-87.770127,713,599,,91.7,Illinois,3000 N MANGO Ave,60634,False,True,True,True
