,id,name,latitude,longitude,student_count,is_high_school,is_middle_school,is_pre_school,is_ele_school,attendance_rate,graduation_rate,add_street,add_state,add_zipcode,status_as_of_2024,year,dropout_rate,num_dropouts,total_students_dropout,adjusted_students,puma,neighborhood
0,400121,ACERO - DE LA CRUZ,42.016476,-87.684406,381.0,True,True,False,True,90.0,88.2,7416 N RIDGE Blvd,Illinois,60645-1919,,2023,4,6,162,151,03152,
1,400085,ACERO - GARCIA HS,41.809171,-87.730467,643.0,True,False,False,False,85.4,92.3,4248 W 47TH St,Illinois,60632,,2023,0.2,1,663,637,03164,
2,400149,ACERO - SOTO HS,41.801762,-87.711025,539.0,True,False,False,False,83.0,90.8,5025 S ST LOUIS Ave,Illinois,60632,,2023,1.6,9,576,567,03163,
3,610513,AIR FORCE HS,41.828145,-87.632757,130.0,True,False,False,False,86.9,90.0,3630 S WELLS St,Illinois,60609,,2023,4.3,6,150,139,03162,
4,610524,ALCOTT HS,41.935795,-87.680562,343.0,True,False,False,False,86.6,91.5,2957 N HOYNE Ave,Illinois,60618-8208,,2023,2.3,8,373,351,03152,
5,609695,AMUNDSEN HS,41.975067,-87.679484,1387.0,True,False,False,False,85.6,89.5,5110 N DAMEN Ave,Illinois,60625,,2023,0.5,8,1528,1459,03152,
6,400181,ART IN MOTION,41.760034,-87.583328,557.0,True,True,False,False,89.2,,7415 S EAST END ,IL,60649-3611,,2023,7.9,34,454,433,03168,
7,400172,ASPIRA - BUSINESS & FINANCE HS,41.935726,-87.718204,395.0,True,False,False,False,83.1,80.8,2989 N MILWAUKEE Ave,Illinois,60618-7347,,2023,6.2,31,506,501,03155,
8,400013,ASPIRA - EARLY COLLEGE HS,41.937298,-87.727096,280.0,True,False,False,False,86.2,91.4,3986 W BARRY Ave,Illinois,60618,,2023,6.9,19,283,274,03155,
9,610518,AUSTIN CCA HS,41.885993,-87.761916,140.0,True,False,False,False,61.5,66.7,231 N PINE Ave,Illinois,60644,,2023,6.3,13,244,207,03158,
10,610563,BACK OF THE YARDS HS,41.808413,-87.677541,997.0,True,False,False,False,85.5,95.2,2111 W 47TH St,Illinois,60609,,2023,1.5,15,1026,1001,03162,
11,609698,BOGAN HS,41.749376,-87.721097,604.0,True,False,False,False,76.7,71.3,3939 W 79TH St,Illinois,60652,,2023,7,46,730,656,03164,
12,610323,BOWEN HS,41.734627,-87.55755,268.0,True,False,False,False,72.7,58.1,2710 E 89TH St,Illinois,60617,,2023,2.2,5,271,223,03168,
13,610381,BRONZEVILLE HS,41.805204,-87.625004,109.0,True,False,False,False,86.0,82.4,4934 S WABASH Ave,Illinois,60615,,2023,9.5,8,85,84,03161,
14,609726,BROOKS HS,41.692763,-87.616353,984.0,True,True,False,False,88.1,90.9,250 E 111TH St,Illinois,60628,,2023,1.2,10,885,856,03167,
15,609760,CARVER MILITARY HS,41.65629,-87.59062,410.0,True,False,False,False,86.5,89.0,13100 S DOTY Ave,Illinois,60827-1597,,2023,5,21,426,420,03167,
16,400022,CHIARTS HS,41.899377,-87.694945,554.0,True,False,False,False,90.6,85.6,2714 W AUGUSTA Blvd,Illinois,60622,,2023,2.6,16,620,608,03159,
17,610340,CHICAGO ACADEMY HS,41.943054,-87.776847,562.0,True,False,False,False,90.4,96.2,3400 N AUSTIN Ave,Illinois,60634,,2023,0.4,2,573,562,03156,
18,609753,CHICAGO AGRICULTURE HS,41.691221,-87.71777,757.0,True,False,False,False,91.0,79.7,3857 W 111TH St,Illinois,60655-4009,,2023,0.4,3,802,760,03166,
19,400161,CHICAGO COLLEGIATE,41.679318,-87.617968,233.0,True,True,False,True,83.3,75.0,11816 S INDIANA ,Illinois,60628-6227,,2023,3.1,4,143,130,03167,
20,400147,CHICAGO EXCEL HS,41.691953,-87.654248,267.0,True,False,False,False,72.1,24.1,1257 W 111TH St,Illinois,60643,,2023,29.3,90,314,307,03166,
21,400035,CHICAGO MATH & SCIENCE HS,42.013031,-87.674818,617.0,True,True,False,True,94.0,84.0,7212 N CLARK St,Illinois,60626,,2023,1.6,6,403,379,03153,
22,609754,CHICAGO MILITARY HS,41.830555,-87.619216,197.0,True,False,False,False,81.9,81.8,3519 S GILES Ave,Illinois,60653,,2023,0,0,227,212,03161,
23,400091,CHICAGO TECH HS,41.863301,-87.659095,301.0,True,False,False,False,87.3,92.8,1301 W 14TH St,Illinois,60608,,2023,3,11,402,366,03159,
24,609674,CHICAGO VOCATIONAL HS,41.737174,-87.573268,590.0,True,False,False,False,80.6,78.1,2100 E 87TH St,Illinois,60617,,2023,5.1,34,719,665,03167,
25,400032,CICS - ELLISON HS,41.748382,-87.66898,212.0,True,False,False,False,76.5,81.8,1817 W 80TH St,Illinois,60620,,2023,1.1,2,214,190,03166,
26,400033,CICS - LONGWOOD,41.721221,-87.655768,1115.0,True,True,False,True,88.2,76.0,1309 W 95TH St,Illinois,60643,,2023,5.1,21,469,414,03166,
27,400034,CICS - NORTHTOWN HS,41.990245,-87.726504,855.0,True,False,False,False,87.0,95.1,3900 W PETERSON Ave,Illinois,60659,,2023,1.2,11,918,890,03151,
28,610244,CLARK HS,41.872885,-87.753325,428.0,True,False,False,False,72.8,82.4,5101 W HARRISON St,Illinois,60644,,2023,3.7,16,455,438,03158,
29,609759,CLEMENTE HS,41.902626,-87.686906,615.0,True,False,False,False,74.5,83.1,1147 N WESTERN Ave,Illinois,60622,,2023,3,21,734,694,03159,
30,610499,COLLINS HS,41.864149,-87.702042,197.0,True,False,False,False,80.5,72.3,1313 S SACRAMENTO Dr,Illinois,60623,,2023,0.5,1,210,205,03158,
